Country Name;Country Code;Indicator Name;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Malta;MLT;International tourism, number of departures;163000;168000;172000;167000;179000;200000;179000;157000;174000;203000;225000;257000;280000;261000;264000;294000;309000;331000;363000;391000;428000
Netherlands;NLD;International tourism, number of departures;12313000;12807000;12858000;13553000;14184000;13896000;14214000;16719000;16425000;17130000;17039000;16695000;17523000;18399000;18340000;18368000;18560000;18628000;18094000;17928000;18070000
Norway;NOR;International tourism, number of departures;590000;692000;753000;;2271000;2394000;2348000;2629000;2588000;2960000;3166000;3236000;3395000;;;;;;;;
Poland;POL;International tourism, number of departures;36387000;44713000;48610000;49328000;55097000;56677000;53122000;45043000;38730000;37226000;40841000;44696000;47561000;50243000;39270000;42760000;43270000;48290000;52580000;35400000;44300000
Portugal;PRT;International tourism, number of departures;;;;;;;;;;17141000;18110000;18378000;20989000;;;;;1361000;1329000;1460000;
Romania;ROU;International tourism, number of departures;5737000;5748000;6243000;6893000;6274000;6388000;6408000;5757000;6497000;6972000;7140000;8906000;10980000;13072000;11723000;10905000;10936000;11149000;11364000;12299000;13118000
Russian Federation;RUS;International tourism, number of departures;21329000;12260000;11182000;10635000;12631000;18371000;18030000;20428000;20572000;24507000;28416000;29107000;34285000;36538000;34276000;39323000;43726000;47813000;54069000;45889000;34550000
Slovak Republic;SVK;International tourism, number of departures;;;;;;;;;;;2987000;3149000;3603000;3683000;3230000;2692000;3285000;2689000;2129000;2406000;2777000
Slovenia;SVN;International tourism, number of departures;;;;;;1965000;2055000;2127000;2114000;2800000;2660000;2680000;2496000;2459000;2586000;2874000;2722000;2474000;2612000;2642000;2867000
Sweden;SWE;International tourism, number of departures;10127000;10390000;10818000;11422000;10500000;10147000;10741000;12888000;12649000;13950000;15677000;12559000;12692000;13291000;11699000;13042000;14651000;15548000;15917000;;
Turkey;TUR;International tourism, number of departures;3981000;4261000;4633000;4601000;4758000;5284000;4856000;5131000;5928000;7299000;8246000;8275000;4956000;4893000;5561000;6557000;6282000;5803000;7526000;7982000;8751000
Ukraine;UKR;International tourism, number of departures;6552000;6004000;9632000;7773000;7399000;13422000;14849000;14729000;14795000;15588000;16454000;16875000;17335000;15499000;15334000;17180000;19773000;21433000;23761000;22438000;23142000
