Country Name;Country Code;Indicator Name;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
Luxembourg;LUX;International tourism, number of arrivals;768000;724000;778000;789000;863000;852000;836000;885000;867000;878000;913000;908000;914000;877000;847000;805000;874000;950000;945000;1038000;1090000
Latvia;LVA;International tourism, number of arrivals;539000;565000;635000;576000;544000;509000;591000;848000;971000;1079000;1116000;1535000;1653000;1684000;1323000;1373000;1493000;1435000;1536000;1843000;2024000
Monaco;MCO;International tourism, number of arrivals;233000;226000;259000;278000;278000;300000;270000;263000;235000;250000;286000;313000;328000;324000;265000;279000;295000;292000;328000;329000;331000
Moldova;MDA;International tourism, number of arrivals;32000;29000;21000;19000;14000;18000;16000;18000;21000;69000;67000;63000;70000;73000;60000;64000;75000;89000;95600;93900;94400
Malta;MLT;International tourism, number of arrivals;1116000;1054000;1111000;1182000;1214000;1216000;1180000;1134000;1127000;1156000;1171000;1124000;1244000;1291000;1182000;1339000;1415000;1443000;1582000;1690000;1783000
Montenegro;MNE;International tourism, number of arrivals;;;;;;;;136000;142000;188000;272000;378000;984000;1031000;1044000;1088000;1201000;1264000;1324000;1350000;1560000
Netherlands;NLD;International tourism, number of arrivals;6574000;6580000;7841000;9312000;9874000;10003000;9500000;9595000;9181000;9646000;10012000;10739000;11008000;10104000;9921000;10883000;11300000;11680000;12783000;13925000;15007000
Norway;NOR;International tourism, number of arrivals;2880000;2746000;2702000;3256000;3223000;3104000;3073000;3111000;3269000;3628000;3824000;4070000;4377000;4347000;4346000;4767000;4963000;4538000;4778000;4855000;5361000
Poland;POL;International tourism, number of arrivals;19215000;19410000;19520000;18780000;17950000;17400000;15000000;13980000;13720000;14290000;15200000;15670000;14975000;12960000;11890000;12470000;13350000;14840000;15800000;16000000;16722000
Portugal;PRT;International tourism, number of arrivals;4572000;4567000;4798000;5539000;5379000;5599000;5392000;5560000;5383000;5654000;5769000;6349000;6788000;6962000;6439000;6756000;7264000;7503000;8097000;9092000;9957000
Romania;ROU;International tourism, number of arrivals;5445000;5205000;5149000;4831000;5224000;5264000;4938000;4794000;5595000;6600000;5839000;6037000;7722000;8862000;7575000;7498000;7611000;7937000;8019000;8442000;9331000
San Marino;SMR;International tourism, number of arrivals;28000;30000;28000;36000;34000;43000;49000;46000;41000;42000;50000;50000;69000;115000;151000;120000;156000;139000;71000;75000;54000
Serbia;SRB;International tourism, number of arrivals;;;;;;;;312000;339000;392000;453000;469000;696000;646000;645000;683000;764000;810000;922000;1029000;1132000
Slovak Republic;SVK;International tourism, number of arrivals;903000;951000;814000;896000;975000;1053000;1219000;1399000;1387000;1401000;1515000;1612000;1685000;1767000;1298000;1327000;1460000;1528000;1670000;1475000;1721000
Slovenia;SVN;International tourism, number of arrivals;732000;832000;974000;977000;884000;1090000;1219000;1302000;1373000;1499000;1555000;1617000;1751000;1958000;1824000;1869000;2037000;2156000;2259000;2411000;2707000
Sweden;SWE;International tourism, number of arrivals;2310000;2376000;2388000;2573000;2595000;3828000;4108000;4276000;4268000;4676000;4883000;4729000;5224000;4555000;4899000;5183000;5222000;5146000;5229000;5660000;6482000
Turkey;TUR;International tourism, number of arrivals;7083000;7966000;9040000;8960000;6893000;9586000;10783000;12790000;13341000;16826000;20273000;18916000;26122000;29792000;30187000;31364000;34654000;35698000;37795000;39811000;39478000
Ukraine;UKR;International tourism, number of arrivals;3716000;3854000;7558000;6208000;4232000;6431000;9174000;10517000;12514000;15629000;17631000;18936000;23122000;25449000;20798000;21203000;21415000;23013000;24671000;12712000;12428000
